Stock Symbol,Sector / Client Base,Critical Component,Core Driver,Quarter,QOQ Sales Growth,QOQ Operating Profit Growth,QOQ Net Profit Growth,QOQ EPS Growth,Status
JGCHEM,"Auto OEMs (Bajaj, Maruti) & Tyre Makers",Zinc Oxide (ZnO),Auto Production & Tyre Vulcanization,2026-03-01 00:00:00,0.1517,1.0377,0.0406,0.024399999999999998,Profitable Growth
HUHTAMAKI,"FMCG Majors (HUL, Nestlé, Britannia)",Flexible Packaging & Laminates,Consumer Packaged SKUs Volume Growth,2026-06-01 00:00:00,0.2274,-0.9412,0.7081999999999999,0.708,Strong Growth
WELCORP,"Global Oil & Gas Majors, US Midstream, Saudi Aramco & Water Utilities","Large-Diameter SAW Pipes, Coated Line Pipes, DI Water Pipes & Sintex Tanks","Global Energy Infra, US LNG Exports, Middle East Oil/Gas Capex & Water Grids",2026-06-01 00:00:00,-0.0538,0.373,1.8248,1.8255,Profitable Growth
DIACABS,"Data Centers, Power Utilities (Adani, PGCIL, L&T)",Power Cables & AL59 Conductors,Power Grid Modernization & AI Data Center Expansion,2026-03-01 00:00:00,0.4678,10.037,0.2191,0.2234,Strong Growth
SHAREINDIA,"Active Traders, Retail Investors, Institutions & Prop Desks","Algo/HFT Platforms (uTrade), Broking & MTF Lending","Derivatives Volume Growth, Market Volatility & Algorithmic Tech Adoption",2026-06-01 00:00:00,0.0769,0.7179,1.1379,1.1477,Strong Growth
AUBANK,"Tier 2–6 MSMEs, Small Transporters & Rural Consumers","Vehicle Loans, MSME Credit & Retail Deposits","Bharat Formalization, Logistics Demand & Semi-Urban Credit",2026-03-01 00:00:00,0.081,N/A,0.24600000000000002,0.245,Jun 2026 Not Reported
EXXARO,"Real Estate Developers, Retail Homeowners & Global Distributors",Vitrified Tiles & Glazed Porcelain Slabs,Real Estate Finishing Boom & Home Premiumization Trends,2026-03-01 00:00:00,0.40490000000000004,0.9005,-0.6851,-1.0,Margin Compression
PRUDENT,"Retail Investors, Independent MFDs & AMCs",Mutual Fund AUM Platform & Multi-Product Distribution,"Indian Financialization, Monthly SIP Growth & Capital Market Flows",2026-06-01 00:00:00,-0.036,-0.043,0.2712,0.2647,Profitable Growth
SURANASOL,"Solar EPC Contractors, Rooftop Installers & Power Utilities",Solar PV Modules (TOPCon) & IPP Power Generation,"Clean Energy Mandates, Solar Capex & Domestic Manufacturing Incentives",Jun 2026 (Pending),N/A,N/A,N/A,N/A,Jun 2026 Not Reported
FCSSOFT,"Corporate Enterprise Clients, Tech Startups & ITeS Firms",Custom Software Services & Owned IT Infrastructure Premises,"Enterprise Digital Transformation, IT Offshoring & Tech Real Estate Leasing",2026-06-01 00:00:00,-0.3978,-0.823,-0.8833,-1.0,Decline
3PLAND,"Real Estate Developers, Industrial Lessees & Group Entities","Prime Pune Land Banks, Lease Properties & CIC Investments","Regional Land Re-development, Lease Yield Escalations & NAV Unlocking",2026-06-01 00:00:00,0.0396,0.1034,0.0952,0.1304,Profitable Growth
ALLDIGI,"Global Multinationals, BFSI, Healthcare & Enterprise HR",Multi-Country Payroll (EXM Platform) & AI Digital CXM,"Enterprise HR Digitalization, Offshoring & Automation of Back/Front-Office Operations",2026-06-01 00:00:00,-0.0323,-0.0682,-0.3793,-0.3726,Decline
KROSS,"M&HCV OEMs (Ashok Leyland, Tata DLT), Tractor Makers & Trailer Fabricators","Trailer Axles, Suspension Assemblies & Forged Safety-Critical Gears","Heavy Freight Movement, M&HCV Fleet Upgrades & Agricultural Mechanization",2026-03-01 00:00:00,0.2703,2.062,0.6058,0.6037,Strong Growth
ARIHANTCAP,"Tier 2/3 Retail Investors, HNI Clients & Regional MSMEs","Broking App (ArihantPlus), Merchant Banking / SME IPOs & MTF","Non-Metro Market Financialization, SME Capital Raising & Retail Credit Demand",2026-06-01 00:00:00,0.5918,3.375,N/A,38.2,Insufficient Data
NEOGEN,"Battery Cell Giga-factories, EV OEMs, Pharma & Agrochem Majors","Lithium Electrolyte Salts ($\text{LiPF}_6$), Formulations & Specialty Bromine","EV Battery Localization, Global Non-FEOC Supply Chains & Specialty Synthesis",2026-06-01 00:00:00,0.0121,0.0909,0.5455,0.4468,Profitable Growth
